activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,dcpp_init_year,version,time_range,path,opendap_url,project,simulation_id,grid_id,frequency,time_reduction,long_name,units,realm,level_type,time_min,time_max,format,uri
CMIP,AS-RCEC,TaiESM1,piControl,r1i1p1f1,Amon,tas,gn,,v20200211,020101-030012,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/tas/gn/v20200211/tas_Amon_TaiESM1_piControl_r1i1p1f1_gn_020101-030012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/tas/gn/v20200211/tas_Amon_TaiESM1_piControl_r1i1p1f1_gn_020101-030012.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Air Temperature,K,atmos,,020101,030012,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/tas/gn/v20200211/tas_Amon_TaiESM1_piControl_r1i1p1f1_gn_020101-030012.nc
CMIP,AS-RCEC,TaiESM1,piControl,r1i1p1f1,Amon,tas,gn,,v20200211,030101-040012,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/tas/gn/v20200211/tas_Amon_TaiESM1_piControl_r1i1p1f1_gn_030101-040012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/tas/gn/v20200211/tas_Amon_TaiESM1_piControl_r1i1p1f1_gn_030101-040012.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Air Temperature,K,atmos,,030101,040012,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/tas/gn/v20200211/tas_Amon_TaiESM1_piControl_r1i1p1f1_gn_030101-040012.nc
CMIP,AS-RCEC,TaiESM1,piControl,r1i1p1f1,Amon,tas,gn,,v20200211,040101-050012,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/tas/gn/v20200211/tas_Amon_TaiESM1_piControl_r1i1p1f1_gn_040101-050012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/tas/gn/v20200211/tas_Amon_TaiESM1_piControl_r1i1p1f1_gn_040101-050012.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Air Temperature,K,atmos,,040101,050012,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/tas/gn/v20200211/tas_Amon_TaiESM1_piControl_r1i1p1f1_gn_040101-050012.nc
CMIP,AS-RCEC,TaiESM1,piControl,r1i1p1f1,Amon,tas,gn,,v20200211,050101-060012,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/tas/gn/v20200211/tas_Amon_TaiESM1_piControl_r1i1p1f1_gn_050101-060012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/tas/gn/v20200211/tas_Amon_TaiESM1_piControl_r1i1p1f1_gn_050101-060012.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Air Temperature,K,atmos,,050101,060012,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/tas/gn/v20200211/tas_Amon_TaiESM1_piControl_r1i1p1f1_gn_050101-060012.nc
CMIP,AS-RCEC,TaiESM1,piControl,r1i1p1f1,Amon,tas,gn,,v20200211,060101-070012,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/tas/gn/v20200211/tas_Amon_TaiESM1_piControl_r1i1p1f1_gn_060101-070012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/tas/gn/v20200211/tas_Amon_TaiESM1_piControl_r1i1p1f1_gn_060101-070012.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Air Temperature,K,atmos,,060101,070012,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/Amon/tas/gn/v20200211/tas_Amon_TaiESM1_piControl_r1i1p1f1_gn_060101-070012.nc
CMIP,AS-RCEC,TaiESM1,piControl,r1i1p1f1,fx,areacella,gn,,v20200302,,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/fx/areacella/gn/v20200302/areacella_fx_TaiESM1_piControl_r1i1p1f1_gn.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/fx/areacella/gn/v20200302/areacella_fx_TaiESM1_piControl_r1i1p1f1_gn.nc,CMIP6,r1i1p1f1,No entry,fx,,Grid-Cell Area for Atmospheric Grid Variables,m2,atmos land,,,,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/fx/areacella/gn/v20200302/areacella_fx_TaiESM1_piControl_r1i1p1f1_gn.nc
CMIP,AS-RCEC,TaiESM1,piControl,r1i1p1f1,fx,sftlf,gn,,v20200302,,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/fx/sftlf/gn/v20200302/sftlf_fx_TaiESM1_piControl_r1i1p1f1_gn.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/fx/sftlf/gn/v20200302/sftlf_fx_TaiESM1_piControl_r1i1p1f1_gn.nc,CMIP6,r1i1p1f1,No entry,fx,,Percentage of the grid  cell occupied by land (including lakes),%,atmos,,,,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/piControl/r1i1p1f1/fx/sftlf/gn/v20200302/sftlf_fx_TaiESM1_piControl_r1i1p1f1_gn.nc
CMIP,AWI,AWI-CM-1-1-MR,piControl,r1i1p1f1,Amon,tas,gn,,v20191015,240101-240112,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240101-240112.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240101-240112.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Air Temperature,K,atmos,,240101,240112,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240101-240112.nc
CMIP,AWI,AWI-CM-1-1-MR,piControl,r1i1p1f1,Amon,tas,gn,,v20191015,240201-240212,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240201-240212.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240201-240212.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Air Temperature,K,atmos,,240201,240212,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240201-240212.nc
CMIP,AWI,AWI-CM-1-1-MR,piControl,r1i1p1f1,Amon,tas,gn,,v20191015,240301-240312,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240301-240312.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240301-240312.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Air Temperature,K,atmos,,240301,240312,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240301-240312.nc
CMIP,AWI,AWI-CM-1-1-MR,piControl,r1i1p1f1,Amon,tas,gn,,v20191015,240401-240412,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240401-240412.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240401-240412.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Air Temperature,K,atmos,,240401,240412,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240401-240412.nc
CMIP,AWI,AWI-CM-1-1-MR,piControl,r1i1p1f1,Amon,tas,gn,,v20191015,240501-240512,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240501-240512.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240501-240512.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Air Temperature,K,atmos,,240501,240512,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240501-240512.nc
CMIP,AWI,AWI-CM-1-1-MR,piControl,r1i1p1f1,Amon,tas,gn,,v20191015,240601-240612,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240601-240612.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240601-240612.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Air Temperature,K,atmos,,240601,240612,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240601-240612.nc
CMIP,AWI,AWI-CM-1-1-MR,piControl,r1i1p1f1,Amon,tas,gn,,v20191015,240701-240712,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240701-240712.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240701-240712.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Air Temperature,K,atmos,,240701,240712,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/tas/gn/v20191015/tas_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_240701-240712.nc
