activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,dcpp_init_year,version,time_range,path,opendap_url,project,simulation_id,grid_id,frequency,time_reduction,long_name,units,realm,level_type,time_min,time_max,format,uri
CMIP,AS-RCEC,TaiESM1,abrupt-4xCO2,r1i1p1f1,Amon,tas,gn,,v20200310,000101-015012,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/Amon/tas/gn/v20200310/tas_Amon_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/Amon/tas/gn/v20200310/tas_Amon_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Air Temperature,K,atmos,,000101,015012,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/Amon/tas/gn/v20200310/tas_Amon_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc
CMIP,AS-RCEC,TaiESM1,abrupt-4xCO2,r1i1p1f1,Amon,wap,gn,,v20200310,000101-015012,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/Amon/wap/gn/v20200310/wap_Amon_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/Amon/wap/gn/v20200310/wap_Amon_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Omega (=dp/dt),Pa s-1,atmos,,000101,015012,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/Amon/wap/gn/v20200310/wap_Amon_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn_000101-015012.nc
CMIP,AS-RCEC,TaiESM1,abrupt-4xCO2,r1i1p1f1,fx,areacella,gn,,v20200310,,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/fx/areacella/gn/v20200310/areacella_fx_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/fx/areacella/gn/v20200310/areacella_fx_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn.nc,CMIP6,r1i1p1f1,No entry,fx,,Grid-Cell Area for Atmospheric Grid Variables,m2,atmos land,,,,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/fx/areacella/gn/v20200310/areacella_fx_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn.nc
CMIP,AS-RCEC,TaiESM1,abrupt-4xCO2,r1i1p1f1,fx,sftlf,gn,,v20200310,,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/fx/sftlf/gn/v20200310/sftlf_fx_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/fx/sftlf/gn/v20200310/sftlf_fx_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn.nc,CMIP6,r1i1p1f1,No entry,fx,,Percentage of the grid  cell occupied by land (including lakes),%,atmos,,,,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AS-RCEC/TaiESM1/abrupt-4xCO2/r1i1p1f1/fx/sftlf/gn/v20200310/sftlf_fx_TaiESM1_abrupt-4xCO2_r1i1p1f1_gn.nc
CMIP,AWI,AWI-CM-1-1-MR,abrupt-4xCO2,r1i1p1f1,Amon,sfcWind,gn,,v20191015,185001-185012,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/sfcWind/gn/v20191015/sfcWind_Amon_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_185001-185012.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/sfcWind/gn/v20191015/sfcWind_Amon_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_185001-185012.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Wind Speed,m s-1,atmos,,185001,185012,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/sfcWind/gn/v20191015/sfcWind_Amon_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_185001-185012.nc
CMIP,AWI,AWI-CM-1-1-MR,abrupt-4xCO2,r1i1p1f1,Amon,sfcWind,gn,,v20191015,185101-185112,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/sfcWind/gn/v20191015/sfcWind_Amon_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_185101-185112.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/sfcWind/gn/v20191015/sfcWind_Amon_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_185101-185112.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Wind Speed,m s-1,atmos,,185101,185112,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/sfcWind/gn/v20191015/sfcWind_Amon_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_185101-185112.nc
CMIP,AWI,AWI-CM-1-1-MR,abrupt-4xCO2,r1i1p1f1,Amon,sfcWind,gn,,v20191015,185201-185212,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/sfcWind/gn/v20191015/sfcWind_Amon_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_185201-185212.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/sfcWind/gn/v20191015/sfcWind_Amon_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_185201-185212.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Wind Speed,m s-1,atmos,,185201,185212,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/sfcWind/gn/v20191015/sfcWind_Amon_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_185201-185212.nc
CMIP,AWI,AWI-CM-1-1-MR,abrupt-4xCO2,r1i1p1f1,Amon,sfcWind,gn,,v20191015,185301-185312,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/sfcWind/gn/v20191015/sfcWind_Amon_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_185301-185312.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/sfcWind/gn/v20191015/sfcWind_Amon_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_185301-185312.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Wind Speed,m s-1,atmos,,185301,185312,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/sfcWind/gn/v20191015/sfcWind_Amon_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_185301-185312.nc
CMIP,AWI,AWI-CM-1-1-MR,abrupt-4xCO2,r1i1p1f1,Amon,sfcWind,gn,,v20191015,185401-185412,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/sfcWind/gn/v20191015/sfcWind_Amon_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_185401-185412.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/sfcWind/gn/v20191015/sfcWind_Amon_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_185401-185412.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Wind Speed,m s-1,atmos,,185401,185412,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/sfcWind/gn/v20191015/sfcWind_Amon_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_185401-185412.nc
CMIP,AWI,AWI-CM-1-1-MR,abrupt-4xCO2,r1i1p1f1,Amon,sfcWind,gn,,v20191015,185501-185512,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/sfcWind/gn/v20191015/sfcWind_Amon_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_185501-185512.nc,http://esgf3.dkrz.de/thredds/dodsC/cmip6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/sfcWind/gn/v20191015/sfcWind_Amon_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_185501-185512.nc,CMIP6,r1i1p1f1,No entry,mon, mean,Near-Surface Wind Speed,m s-1,atmos,,185501,185512,netcdf,/work/ik1017/CMIP6/data/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/abrupt-4xCO2/r1i1p1f1/Amon/sfcWind/gn/v20191015/sfcWind_Amon_AWI-CM-1-1-MR_abrupt-4xCO2_r1i1p1f1_gn_185501-185512.nc
